字,假名,送假名,旧字体,音训读,简体字
亜,あ,,亞,音读,亚
哀,あい,,,音读,
哀,あわ,れ,,训读,
哀,あわ,れむ,,训读,
挨,あい,,,音读,
愛,あい,,,音读,爱
曖,あい,,,音读,暧
悪,あく,,惡,音读,恶
悪,お,,惡,音读,恶
悪,わる,い,惡,训读,恶
握,あく,,,音读,
握,にぎ,る,,训读,
圧,あつ,,壓,音读,压
扱,あつか,う,,训读,
宛,あ,てる,,训读,
嵐,あらし,,,训读,岚
安,あん,,,音读,
安,やす,い,,训读,
案,あん,,,音读,
暗,あん,,,音读,
暗,くら,い,,训读,
以,い,,,音读,
衣,い,,,音读,
衣,ころも,,,训读,
位,い,,,音读,
位,くらい,,,训读,
囲,い,,圍,音读,围
囲,かこ,む,圍,训读,围
囲,かこ,う,圍,训读,围
医,い,,醫,音读,
依,い,,,音读,
依,え,,,音读,
委,い,,,音读,
委,ゆだ,ねる,,训读,
威,い,,,音读,
為,い,,爲,音读,为
畏,い,,,音读,
畏,おそ,れる,,训读,
胃,い,,,音读,
尉,い,,,音读,
異,い,,,音读,异
異,こと,,,训读,异
移,い,,,音读,
移,うつ,る,,训读,
移,うつ,す,,训读,
萎,い,,,音读,
萎,な,える,,训读,
偉,い,,,音读,伟
偉,えら,い,,训读,伟
椅,い,,,音读,
彙,い,,,音读,汇
意,い,,,音读,
違,い,,,音读,违
違,ちが,う,,训读,违
違,ちが,える,,训读,违
維,い,,,音读,维
慰,い,,,音读,
慰,なぐさ,める,,训读,
慰,なぐさ,む,,训读,
遺,い,,,音读,遗
遺,ゆい,,,音读,遗
緯,い,,,音读,纬
域,いき,,,音读,
育,いく,,,音读,
育,そだ,つ,,训读,
育,そだ,てる,,训读,
育,はぐく,む,,训读,
一,いち,,,音读,
一,いつ,,,音读,
一,ひと,,,训读,
一,ひと,つ,,训读,
壱,いち,,壹,音读,壹
逸,いつ,,逸,音读,
茨,いばら,,,训读,
芋,いも,,,训读,
引,いん,,,音读,
引,ひ,く,,训读,
引,ひ,ける,,训读,
印,いん,,,音读,
印,しるし,,,训读,
因,いん,,,音读,
因,よ,る,,训读,
咽,いん,,,音读,
姻,いん,,,音读,
員,いん,,,音读,员
院,いん,,,音读,
淫,いん,,,音读,
淫,みだら,,,训读,
陰,いん,,,音读,阴
陰,かげ,,,训读,阴
陰,かげ,る,,训读,阴
飲,いん,,,音读,饮
飲,の,む,,训读,饮
隠,いん,,隱,音读,隐
隠,かく,す,隱,训读,隐
隠,かく,れる,隱,训读,隐
