字,假名,送假名,旧字体,音训读,简体字,等级,类别
乞,こ,う,,训读,,2级,常用汉字
巾,きん,,,音读,,2级,常用汉字
匂,にお,う,,训读,,2级,常用汉字
爪,つめ,,,训读,,2级,常用汉字
爪,つま,,,训读,,2级,常用汉字
勾,こう,,,音读,,2级,常用汉字
牙,が,,,音读,,2级,常用汉字
牙,げ,,,音读,,2级,常用汉字
牙,きば,,,训读,,2级,常用汉字
𠮟,しつ,,,音读,,2级,常用汉字
𠮟,しか,る,,训读,,2级,常用汉字
叱,しつ,,,音读,,2级,
叱,しち,,,音读,,2级,
叱,しか,る,,训读,,2级,
氾,はん,,,音读,,2级,常用汉字
丼,どんぶり,,,训读,,2级,常用汉字
丼,どん,,,训读,,2级,常用汉字
尻,しり,,,训读,,2级,常用汉字
瓦,が,,,音读,,2级,常用汉字
瓦,かわら,,,训读,,2级,常用汉字
旦,たん,,,音读,,2级,常用汉字
旦,だん,,,音读,,2级,常用汉字
汎,はん,,,音读,,2级,常用汉字
臼,きゅう,,,音读,,2级,常用汉字
臼,うす,,,训读,,2级,常用汉字
伎,き,,,音读,,2级,常用汉字
汰,た,,,音读,,2级,常用汉字
肘,ひじ,,,训读,,2级,常用汉字
那,な,,,音读,,2级,常用汉字
串,く,し,,训读,,2级,常用汉字
沙,さ,,,音读,,2级,常用汉字
冶,や,,,音读,,2级,常用汉字
沃,よく,,,音读,,2级,常用汉字
芯,しん,,,音读,,2级,常用汉字
弄,ろう,,,音读,,2级,常用汉字
弄,もてあそ,ぶ,,训读,,2级,常用汉字
妖,よう,,,音读,,2级,常用汉字
妖,あや,しい,,训读,,2级,常用汉字
呂,ろ,,,音读,,2级,常用汉字
狙,そ,,,音读,,2级,常用汉字
狙,ねら,う,,训读,,2级,常用汉字
刹,さつ,,,音读,,2级,常用汉字
刹,せつ,,,音读,,2级,常用汉字
妬,と,,,音读,,2级,常用汉字
妬,ねた,む,,训读,,2级,常用汉字
宛,あ,てる,,训读,,2级,常用汉字
呪,じゅ,,,音读,,2级,常用汉字
呪,のろ,う,,训读,,2级,常用汉字
拉,ら,,,音读,,2级,常用汉字
玩,がん,,,音读,,2级,常用汉字
枕,まくら,,,训读,,2级,常用汉字
苛,か,,,音读,,2级,常用汉字
弥,や,,彌,训读,,2级,常用汉字
旺,おう,,,音读,,2级,常用汉字
虎,こ,,,音读,,2级,常用汉字
虎,とら,,,训读,,2级,常用汉字
股,こ,,,音读,,2级,常用汉字
股,また,,,训读,,2级,常用汉字
采,さい,,,音读,,2级,常用汉字
拭,しょく,,,音读,,2级,常用汉字
拭,ふ,く,,训读,,2级,常用汉字
拭,ぬぐ,う,,训读,,2级,常用汉字
柵,さく,,,音读,栅,2级,常用汉字
虹,にじ,,,训读,,2级,常用汉字
怨,えん,,,音读,,2级,常用汉字
怨,おん,,,音读,,2级,常用汉字
昧,まい,,,音读,,2级,常用汉字
勃,ぼつ,,,音读,,2级,常用汉字
拶,さつ,,,音读,,2级,常用汉字
柿,かき,,,训读,,2级,常用汉字
咽,いん,,,音读,,2级,常用汉字
訃,ふ,,,音读,讣,2级,常用汉字
